frozenset({'16'}),150
frozenset({'891'}),151
frozenset({'656'}),154
frozenset({'462'}),155
frozenset({'927'}),156
frozenset({'367'}),158
frozenset({'931'}),170
frozenset({'29'}),171
frozenset({'372'}),172
"frozenset({'372', '802'})",167
"frozenset({'922', '372', '802'})",164
"frozenset({'922', '372', '802', '844'})",159
"frozenset({'372', '510', '922', '802', '844'})",156
"frozenset({'682', '372', '510', '922', '802', '844'})",153
"frozenset({'682', '372', '922', '802', '844'})",156
"frozenset({'510', '922', '372', '802'})",159
"frozenset({'682', '372', '510', '922', '802'})",156
"frozenset({'682', '922', '372', '802'})",161
"frozenset({'372', '802', '844'})",162
"frozenset({'510', '372', '802', '844'})",159
"frozenset({'682', '372', '510', '802', '844'})",156
"frozenset({'682', '372', '802', '844'})",159
"frozenset({'510', '372', '802'})",162
"frozenset({'682', '510', '372', '802'})",159
"frozenset({'682', '372', '802'})",164
"frozenset({'922', '372'})",169
"frozenset({'922', '372', '844'})",164
"frozenset({'510', '922', '372', '844'})",161
"frozenset({'682', '372', '510', '922', '844'})",158
"frozenset({'682', '922', '372', '844'})",161
"frozenset({'510', '922', '372'})",164
"frozenset({'682', '510', '922', '372'})",161
"frozenset({'682', '922', '372'})",166
"frozenset({'372', '844'})",167
"frozenset({'510', '372', '844'})",164
"frozenset({'682', '510', '372', '844'})",161
"frozenset({'682', '372', '844'})",164
"frozenset({'510', '372'})",167
"frozenset({'682', '510', '372'})",164
"frozenset({'682', '372'})",169
frozenset({'324'}),173
"frozenset({'324', '750'})",162
"frozenset({'170', '324', '750'})",155
"frozenset({'214', '324', '750'})",154
"frozenset({'324', '346', '750'})",150
"frozenset({'170', '324'})",165
"frozenset({'214', '170', '324'})",157
"frozenset({'324', '170', '346'})",153
"frozenset({'214', '324'})",165
"frozenset({'324', '214', '346'})",153
"frozenset({'324', '346'})",160
frozenset({'47'}),175
"frozenset({'156', '47'})",166
"frozenset({'156', '322', '47'})",159
"frozenset({'156', '322', '47', '27'})",156
"frozenset({'47', '775', '156', '322', '27'})",150
"frozenset({'775', '156', '322', '47'})",153
"frozenset({'156', '47', '27'})",162
"frozenset({'775', '156', '47', '27'})",155
"frozenset({'775', '156', '47'})",159
"frozenset({'322', '47'})",166
"frozenset({'322', '47', '27'})",163
"frozenset({'775', '322', '47', '27'})",157
"frozenset({'775', '322', '47'})",160
"frozenset({'47', '27'})",171
"frozenset({'775', '47', '27'})",164
"frozenset({'775', '47'})",168
frozenset({'821'}),179
"frozenset({'821', '753'})",173
"frozenset({'661', '821', '753'})",167
"frozenset({'661', '821', '753', '960'})",157
"frozenset({'821', '753', '960'})",163
"frozenset({'661', '821'})",173
"frozenset({'661', '821', '960'})",163
"frozenset({'821', '960'})",169
frozenset({'847'}),179
frozenset({'247'}),181
frozenset({'83'}),181
"frozenset({'83', '167'})",169
"frozenset({'83', '949', '167'})",162
"frozenset({'675', '83', '949', '167'})",152
"frozenset({'83', '167', '427'})",150
"frozenset({'675', '83', '167'})",157
"frozenset({'83', '167', '766'})",154
"frozenset({'83', '949'})",173
"frozenset({'83', '949', '427'})",153
"frozenset({'675', '83', '949'})",162
"frozenset({'83', '949', '766'})",154
"frozenset({'83', '427'})",159
"frozenset({'675', '83', '427'})",151
"frozenset({'675', '83'})",168
"frozenset({'675', '83', '766'})",152
"frozenset({'83', '766'})",162
frozenset({'246'}),183
frozenset({'609'}),184
"frozenset({'296', '609'})",177
frozenset({'255'}),185
frozenset({'802'}),188
"frozenset({'922', '802'})",167
"frozenset({'922', '802', '844'})",162
"frozenset({'510', '922', '802', '844'})",159
"frozenset({'682', '510', '922', '802', '844'})",156
"frozenset({'682', '922', '802', '844'})",159
"frozenset({'510', '922', '802'})",162
"frozenset({'682', '510', '922', '802'})",159
"frozenset({'682', '922', '802'})",164
"frozenset({'802', '844'})",166
"frozenset({'510', '802', '844'})",162
"frozenset({'682', '510', '802', '844'})",159
"frozenset({'682', '802', '844'})",162
"frozenset({'510', '802'})",166
"frozenset({'682', '510', '802'})",162
"frozenset({'682', '802'})",168
frozenset({'24'}),191
frozenset({'773'}),192
frozenset({'999'}),193
frozenset({'743'}),194
"frozenset({'745', '743'})",187
"frozenset({'480', '745', '743'})",177
"frozenset({'480', '782', '745', '743'})",171
"frozenset({'782', '745', '743'})",181
